,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
200,HLT_PFHT180,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.957,0.689,0.22667070796808458,0.0745865186968615,83.59935498476906,1.9733526918486177,473682.14724731445,465.9326257109642
201,HLT_PFHT180,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.05,0.732,0.2330595558631363,0.07956548303215183,84.04556058668315,1.9743556458001876,154824.00743103027,280.9588508531451
202,HLT_PFHT180,"['bJet_mass1', 'bJet_mass2']",0.971,0.704,0.23015783202634973,0.07779979391605422,83.69974903653551,1.9725974945232565,482363.9782104492,479.1840663999319
203,HLT_PFHT180,"['WJet_mass1', 'WJet_mass2']",1.08,0.762,0.2294406264014983,0.07655676270940306,84.17819735942206,1.9718906733353379,525631.1413574219,535.7199268341064
204,HLT_PFHT180,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.23,1.33,0.23631424488670366,0.08118700258692847,84.26652309379385,1.9666918523556376,5415.761077880859,43.59356686472893
205,HLT_PFHT180,"['WJet_neHEF1', 'WJet_neHEF1']",0.998,0.734,0.22548965077386943,0.07419443219399759,84.23111641010676,1.973428895328425,370905.8932495117,435.3630866110325
206,HLT_PFHT180,"['WJet_qgl1', 'WJet_qgl2']",1.1,0.745,0.22382015245745146,0.07354667320542076,83.7378031311352,1.9727444641412148,448742.3262939453,465.1680757403374
207,HLT_PFHT180,"['HJet_qgl1', 'HJet_qgl2']",0.98,0.707,0.22882887412310032,0.07620343425022423,84.21414540616394,1.97373602542649,506052.3775024414,493.9809099435806
208,HLT_PFHT180,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.02,0.754,0.2254642359703861,0.0753471203427447,84.17871905048085,1.9757138338296727,114914.94165802002,234.919947527349
209,HLT_PFHT180,recon_Wmass,0.82,0.661,0.2247035831470326,0.07456084013862442,83.26568602778633,1.9681634385598272,9769.881369829178,25.199282988905907
210,HLT_PFHT180,recon_Hmass,0.842,0.0,0.2229800545365472,0.07191344140511875,83.1527682216849,1.9785478468053839,0.0,0.0
211,HLT_PFHT180,deltaR_reconHW,0.834,0.859,0.21501393218416806,0.06895280045451319,81.36410245702565,1.968669439602877,8396.132084846497,30.97010737657547
212,HLT_PFHT180,recon_Hpt,1.0,0.707,0.2332032520598965,0.07898713360087653,84.32108528862423,1.9776446203604792,464599.7100830078,472.99724501371384
213,HLT_PFHT180,recon_Wpt,0.937,0.709,0.23005850500782704,0.07721663189048551,84.14706249563108,1.9661072506512767,60249.97528839111,163.17108269780874
